League,Season,Matches Played,Home Goals,Away Goals,Home Wins,Draws,Away Wins,Home Shots,Away Shots,Home SoT,Away SoT,Home Fouls,Away Fouls,Home Yellows,Away Yellows,Home Reds,Away Reds
Championship,2017/18,552,779,630,238,148,166,7604,6250,2480,1984,6579,6776,874,1047,30,53
PL,2017/18,380,582,436,173,99,108,5164,4126,1759,1431,3883,3984,562,595,17,22
Championship,2018/19,552,836,637,240,162,150,7738,6311,2522,2096,6467,6900,841,1008,26,49
PL,2018/19,380,596,476,181,71,128,5371,4235,1816,1493,3858,3916,580,640,18,29
Championship,2019/20,444,634,539,189,123,132,5920,4997,1913,1596,5130,5663,655,847,19,30
PL,2019/20,288,434,350,129,72,87,3968,3288,1353,1173,2960,3140,469,540,17,18
Championship,2019/20^,108,145,139,41,26,41,1348,1180,451,374,1378,1365,146,151,7,9
PL,2019/20^,92,142,108,43,20,29,1095,1044,378,345,1024,1033,134,131,5,5
Championship,2020/21^,216,258,219,90,61,65,2546,2276,846,707,2794,2662,318,303,17,13
PL,2020/21^,123,174,190,44,27,52,1515,1440,557,525,1458,1350,191,180,7,10
Championship,"2020/21""",23,32,20,9,7,7,325,215,91,70,280,284,29,45,0,5
PL,"2020/21""",14,22,13,7,3,4,196,139,77,46,139,149,17,27,1,1
,,,,,,,,,,,,,,,,,
^ - No Fans,,,,,,,,,,,,,,,,,
""" - Limited Fans",,,,,,,,,,,,,,,,,
